指标ID,指标分类,指标名称,算法说明,指标单位,指标范围,评价参考
1,安全类,冲突次数,统计仿真周期内，两架低空飞行器水平+垂直间隔同时小于设定安全阈值的事件次数,次,0~N,数值越小越安全，0为最优
2,安全类,冲突率,冲突次数/仿真周期内总有效飞行架次,无单位,0~1,<0.05优秀；0.05~0.1一般；0.1~0.2较差；>0.2危险
3,安全类,平均最小接近距离,所有冲突事件中，飞行器间最短距离的算术平均值,m,0~500,≥100m安全，≥200m优秀
4,安全类,碰撞概率,基于Reich概率模型，结合飞行器距离、相对速度、航向角、飞行轨迹斜率计算碰撞风险,无单位,0~1,<1e-6优秀；1e-6~1e-4一般；>1e-4高风险
5,安全类,冲突解脱成功率,成功规避解除冲突的次数/总冲突次数,无单位,0~1,≥0.95优秀；≥0.9合格；<0.8不合格
6,安全类,冲突预警提前时间,冲突发生前，系统发出预警时刻到冲突预计发生时刻的时间均值,s,0~30,≥10s优秀；5~10s合格；<5s预警失效
7,安全类,禁飞区侵入次数,飞行器航迹进入法定禁飞区、核心管控区的次数,次,0~N,0为优秀，严禁出现侵入
8,安全类,限飞区越界次数,飞行器航迹超出核定飞行航线、进入限飞管控区的次数,次,0~N,越小越好，≤3次合格
9,安全类,违规飞行时长,飞行器处于禁飞区、限飞区、违规高度/速度区间的总时长,s,0~T,越小越好，0为最优
10,安全类,违规飞行距离,飞行器违规飞行状态下的航迹总长度,m,0~L,越小越好
11,安全类,违规率,违规飞行时长/仿真周期内飞行器总飞行时长,无单位,0~1,<0.01优秀；0.01~0.05合格；>0.05不合格
12,安全类,失控架次,仿真周期内出现姿态失控、航迹偏离超限、失去操控的飞行器架次,架,0~N,0为优秀
13,安全类,失控概率,失控架次/仿真周期内总飞行架次,无单位,0~1,<0.001优秀；0.001~0.01合格；>0.01高风险
14,安全类,失控持续时间,单次失控事件的平均持续时长,s,0~T,越小越好，≤5s合格
15,安全类,地面威胁等级,结合失控区域人口密度、坠落概率、飞行器影响范围，分级量化地面威胁程度,级,1~5,1级安全；2级较低风险；3级中等风险；4级较高风险；5级极高危
16,安全类,坠毁风险指数,失控概率×地面威胁等级，量化综合坠毁风险,无单位,0~25,≤5优秀；5~10合格；>15高风险
17,安全类,导航失效概率,导航模块异常、定位失效时长/总飞行时长,无单位,0~1,越小越好，<0.005优秀
18,安全类,通信中断次数,地空通信、机间通信链路断开的次数,次,0~N,越小越好，≤2次合格
19,安全类,传感器失效概率,雷达、视觉、避障传感器异常时长/总工作时长,无单位,0~1,越小越好，<0.005优秀
20,安全类,关键指令丢失率,丢失、未执行的关键操控指令数/总下发指令数,无单位,0~1,<0.001优秀；<0.005合格
21,运行效率类,单位时间通过架次,仿真空域内，单位时间通过的有效飞行架次,架/分钟,0~N,数值越大运行效率越高
22,运行效率类,空域容量利用率,实际飞行架次/空域理论最大承载架次,无单位,0~1,0.6~0.8优秀；0.5~0.9合格；过高易拥堵，过低资源浪费
23,运行效率类,拥堵时长,空域内飞行器密度超出承载阈值的总时长,s,0~T,越小越好，≤总时长10%合格
24,运行效率类,拥堵区域占比,拥堵空域网格数量/总空域划分网格数量,无单位,0~1,越小越好，≤0.1合格
25,运行效率类,平均等待时间,飞行器起飞、降落、空域准入的平均等待时长,s,0~T,越小越好，≤30s优秀
26,运行效率类,平均航程冗余度,(实际飞行航程-理想直线航程)/理想直线航程,无单位,≥0,<0.1优秀；0.1~0.2合格；>0.2效率低下
27,运行效率类,绕飞次数,因避让障碍物、禁飞区、其他飞行器产生的主动绕飞次数,次,0~N,越小越好
28,运行效率类,绕飞率,绕飞架次/总飞行架次,无单位,0~1,<0.05优秀；0.05~0.1合格
