来源类别,文件名称,发布机构,文号/编号,发布日期,生效日期,适用规则维度,摘要,官方链接
法律法规,中华人民共和国民用航空法,全国人民代表大会常务委员会,主席令第56号（2021修正）,2021-04-29,2021-04-29,空域管理类;飞行计划与审批类;安全管理类,民用航空领域基础法律，规定民用航空活动的基本规则和管理体制，是低空相关所有规章的上位法。,https://www.gov.cn/guoqing/2021-10/29/content_5647636.htm
法律法规,无人驾驶航空器飞行管理暂行条例,国务院/中央军委,国务院令第761号,2023-06-28,2024-01-01,空域管理类;飞行计划与审批类;安全管理类;监视与通信类,核心法规。对无人驾驶航空器分类管理、空域使用、飞行计划申请、实名登记、运营合格证等作出全面规定。,https://www.gov.cn/zhengce/content/202306/content_6888799.htm
部门规章,民用无人驾驶航空器运行安全管理规则,中华人民共和国交通运输部,CCAR-92部（交通运输部令2024年第1号）,2024-01-03,2024-01-03,飞行计划与审批类;安全管理类;监视与通信类,配套《条例》的核心运行规章，细化无人机运行安全管理要求，包括驾驶员执照、运营合格证、飞行计划申报等操作规程。,https://xxgk.mot.gov.cn/2020/gz/202401/W020240103570150577134.pdf
行业规范,国家空域基础分类方法,国家空管委/中国民用航空局,—,2023-12-21,2024-01-01,空域管理类,将国家空域划分为A/B/C/D/E/G/W七类，明确低空空域（G类、W类）的定义与准入规则，是空域管理的基础性技术规范。,https://www.ccaonline.cn/zhengfu/zftop/917870.html
行业规范,低空空域使用管理规定（试行）,国家空管委,—,2023-05-01,2023-05-01,空域管理类;飞行计划与审批类,规范低空空域申请、审批、使用流程，确立管制空域、监视空域和报告空域三类低空空域管理模式。,https://wenku.baidu.com/view/5a903c796bd97f192279e9f9.html
行业规范,民用无人驾驶航空器系统适航审定管理规定,中国民用航空局,CCAR-21部（AC-91-FS-2023-20）,2023-12-01,2024-01-01,安全管理类,规定民用无人驾驶航空器系统的适航审定程序和要求，包括型号合格证、生产许可证等证件申请规则。,https://www.caac.gov.cn/XXGK/XXGK/GFXWJ/
行业规范,民用无人机驾驶员管理规定,中国民用航空局,AC-61-FS-2023-20,2023-12-01,2024-01-01,飞行计划与审批类,规定无人机驾驶员资质管理体系，明确执照类别（视距内/超视距）、培训机构审定、考试规范等。,https://pilot.caac.gov.cn/jsp/airmanNews/airmanNewsDetail.jsp?uuid=150884f4-4893-4dbf-8225-26cc1b4ec6cd&code=MH_rules
技术标准,低空飞行安全间隔管控规范,中国指挥与控制学会,T/CICC 27007-2025,2025-09-10,2025-09-10,飞行安全间隔类,规定大中小轻型民用无人驾驶航空器低空飞行安全间隔要求，及航空器间隔调解规范，指导低空管服系统建设。,https://www.biaozhuns.com/archives/20251109/show-414038-108-1.html
技术标准,低空飞行通信导航监视安全通用要求,中国指挥与控制学会,T/CICC 27006-2025,2025-09-10,2025-09-10,监视与通信类,规定真高1000米以下低空飞行无人驾驶航空器的通信、导航、监视系统（设备）安全通用要求，适用于C/D/E/G/W类空域。,https://ndls.org.cn/standard/detail/5340f24ead873adc9529608f7e69bbfc
技术标准,低空经济标准体系建设指南（2025年版）,市场监管总局等10部门联合,—,2026-02-02,2026-02-02,空域管理类;安全管理类;监视与通信类,明确低空经济标准体系框架，计划到2030年制定超300项相关标准，覆盖空域管理、飞行安全、基础设施等各维度。,https://www.samr.gov.cn/bzjss/zcfg/art/2026/art_688745c034654328b589af994eb4d2f6.html
技术标准,民用无人驾驶航空器系统安全要求,国家市场监督管理总局/国家标准化管理委员会,GB 42590-2023,2023-05-23,2024-06-01,安全管理类,国家强制性标准，规定民用无人驾驶航空器系统的安全设计要求，包括飞行控制、防撞、返航等安全功能技术指标。,https://openstd.samr.gov.cn/bzgk/gb/newGbInfo?hcno=0DC41035BA23EF2C5B94E6482492AF1E
政策文件,低空经济发展意见（2024国家层面政策）,国家发展改革委/工业和信息化部,发改高技〔2024〕相关文件,2024-03-01,2024-03-01,空域管理类,明确低空经济为战略性新兴产业，提出低空经济基础设施建设、空域改革、产业发展目标，驱动相关规则体系建立。,https://sousuo.www.gov.cn/zcwjk/policyDocumentLibrary?q=%E4%BD%8E%E7%A9%BA%E7%BB%8F%E6%B5%8E
权威渠道,中国民用航空局官网（规章数据库）,中国民用航空局,—,—,—,空域管理类;飞行计划与审批类;安全管理类;监视与通信类,CAAC官方规章（CCAR系列）和咨询通告（AC系列）发布渠道，包含所有现行有效民航规章全文。,https://www.caac.gov.cn/XXGK/XXGK/GFXWJ/
权威渠道,中国政府网（国务院政策文件库）,国务院办公厅,—,—,—,空域管理类;飞行计划与审批类;安全管理类,国务院及各部委低空相关政策法规权威发布平台，可查询所有国家层面低空规则文件。,https://sousuo.www.gov.cn/zcwjk/policyDocumentLibrary?q=%E4%BD%8E%E7%A9%BA
权威渠道,全国标准信息公共服务平台,国家市场监督管理总局,—,—,—,安全管理类;技术标准类,查询国家标准（GB/T、GB系列）的权威渠道，包含无人驾驶航空器系统安全、导航等相关标准。,https://std.samr.gov.cn/
权威渠道,民航飞行人员信息咨询平台,中国民用航空局飞行标准司,—,—,—,飞行计划与审批类,查询无人机驾驶员相关规定和咨询通告的官方渠道，包含执照管理规则全文。,https://pilot.caac.gov.cn/
